Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
Australian Capital Territory,Australia,-35.4735,149.0124,22-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,22-01-2020,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,22-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,22-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,22-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,22-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,22-01-2020,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,22-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,23-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,23-01-2020,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,23-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,23-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,23-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,23-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,23-01-2020,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,23-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,24-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,24-01-2020,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,24-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,24-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,24-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,24-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,24-01-2020,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,24-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,25-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,25-01-2020,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,25-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,25-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,25-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,25-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,25-01-2020,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,25-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,26-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,26-01-2020,3,0,0,3,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,26-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,26-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,26-01-2020,0,0,0,0,Western Pacific
